"PÉRIODE DE RÉFÉRENCE";"GÉO";"DGUID";"Durée du voyage";"Raison principale du voyage";"Statistiques";"UNITÉ DE MESURE";"IDENTIFICATEUR D'UNITÉ DE MESURE";"FACTEUR SCALAIRE";"IDENTIFICATEUR SCALAIRE";"VECTEUR";"COORDONNÉES";"VALEUR";"STATUS";"SYMBOLE";"TERMINÉ";"DÉCIMALES"
"2018-01";"Canada";"2021A000011124";"Total, toutes les durées";"Vacances, loisirs ou agrément";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335328";"2.1.2.1";"16015";"A";"";"";"0"
"2018-01";"Canada";"2021A000011124";"Total, toutes les durées";"Visiter des amis ou de la parenté";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335331";"2.1.3.1";"25072";"A";"";"";"0"
"2018-01";"Canada";"2021A000011124";"Total, toutes les durées";"Conférence ou congrès (personnel)";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335334";"2.1.4.1";"953";"B";"";"";"0"
"2018-01";"Canada";"2021A000011124";"Total, toutes les durées";"Magasinage, non routinier";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335337";"2.1.5.1";"3250";"A";"";"";"0"
"2018-01";"Canada";"2021A000011124";"Total, toutes les durées";"Autres raisons personnelles";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335340";"2.1.6.1";"4509";"B";"";"";"0"
"2018-01";"Canada";"2021A000011124";"Total, toutes les durées";"Conférence ou congrès (pour les affaires)";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335343";"2.1.7.1";"1819";"B";"";"";"0"
"2018-01";"Canada";"2021A000011124";"Total, toutes les durées";"Autres raisons d'affaires";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335346";"2.1.8.1";"4702";"B";"";"";"0"
"2018-01";"Canada";"2021A000011124";"Même jour";"Total, toutes les raisons du voyage";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335316";"2.2.1.1";"39132";"A";"";"";"0"
"2018-01";"Canada";"2021A000011124";"Même jour";"Vacances, loisirs ou agrément";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335363";"2.2.2.1";"10693";"A";"";"";"0"
"2018-01";"Canada";"2021A000011124";"Même jour";"Visiter des amis ou de la parenté";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335368";"2.2.3.1";"16585";"A";"";"";"0"
"2018-01";"Canada";"2021A000011124";"Même jour";"Conférence ou congrès (personnel)";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335373";"2.2.4.1";"641";"B";"";"";"0"
"2018-01";"Canada";"2021A000011124";"Même jour";"Magasinage, non routinier";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335378";"2.2.5.1";"3076";"A";"";"";"0"
"2018-01";"Canada";"2021A000011124";"Même jour";"Autres raisons personnelles";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335383";"2.2.6.1";"3685";"B";"";"";"0"
"2018-01";"Canada";"2021A000011124";"Même jour";"Conférence ou congrès (pour les affaires)";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335388";"2.2.7.1";"956";"C";"";"";"0"
"2018-01";"Canada";"2021A000011124";"Même jour";"Autres raisons d'affaires";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335393";"2.2.8.1";"3495";"B";"";"";"0"
"2018-01";"Canada";"2021A000011124";"Une nuit ou plus";"Total, toutes les raisons du voyage";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335318";"2.3.1.1";"17188";"A";"";"";"0"
"2018-01";"Canada";"2021A000011124";"Une nuit ou plus";"Vacances, loisirs ou agrément";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335365";"2.3.2.1";"5322";"A";"";"";"0"
"2018-01";"Canada";"2021A000011124";"Une nuit ou plus";"Visiter des amis ou de la parenté";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335370";"2.3.3.1";"8486";"A";"";"";"0"
"2018-01";"Canada";"2021A000011124";"Une nuit ou plus";"Conférence ou congrès (personnel)";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335375";"2.3.4.1";"312";"B";"";"";"0"
"2018-01";"Canada";"2021A000011124";"Une nuit ou plus";"Magasinage, non routinier";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335380";"2.3.5.1";"174";"C";"";"";"0"
"2018-01";"Canada";"2021A000011124";"Une nuit ou plus";"Autres raisons personnelles";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335385";"2.3.6.1";"824";"B";"";"";"0"
"2018-01";"Canada";"2021A000011124";"Une nuit ou plus";"Conférence ou congrès (pour les affaires)";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335390";"2.3.7.1";"863";"B";"";"";"0"
"2018-01";"Canada";"2021A000011124";"Une nuit ou plus";"Autres raisons d'affaires";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335395";"2.3.8.1";"1207";"B";"";"";"0"
"2018-01";"États-Unis";"";"Total, toutes les durées";"Total, toutes les raisons du voyage";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335312";"3.1.1.1";"6174";"A";"";"";"0"
"2018-01";"États-Unis";"";"Total, toutes les durées";"Vacances, loisirs ou agrément";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335329";"3.1.2.1";"2977";"A";"";"";"0"
"2018-01";"États-Unis";"";"Total, toutes les durées";"Visiter des amis ou de la parenté";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335332";"3.1.3.1";"1179";"B";"";"";"0"
"2018-01";"États-Unis";"";"Total, toutes les durées";"Conférence ou congrès (personnel)";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335335";"3.1.4.1";"103";"C";"";"";"0"
"2018-01";"États-Unis";"";"Total, toutes les durées";"Magasinage, non routinier";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335338";"3.1.5.1";"954";"B";"";"";"0"
"2018-01";"États-Unis";"";"Total, toutes les durées";"Autres raisons personnelles";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335341";"3.1.6.1";"194";"C";"";"";"0"
