"PÉRIODE DE RÉFÉRENCE";"GÉO";"DGUID";"Motif principal du voyage";"Durée de voyage";"Statistiques de voyage";"UNITÉ DE MESURE";"IDENTIFICATEUR D'UNITÉ DE MESURE";"FACTEUR SCALAIRE";"IDENTIFICATEUR SCALAIRE";"VECTEUR";"COORDONNÉES";"VALEUR";"STATUS";"SYMBOLE";"TERMINÉ";"DÉCIMALES"
"2018-01";"Tous les pays et régions de destination du voyage";"";"Visite aux amis et à la parenté";"Une nuit ou plus (Touristes)";"Voyages";"Nombre";"223";"milliers";"3";"v1918320217";"1.4.3.1";"11605";"A";"";"";"0"
"2018-01";"Tous les pays et régions de destination du voyage";"";"Visite aux amis et à la parenté";"Une nuit ou plus (Touristes)";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918320218";"1.4.3.2";"9958";"A";"";"";"0"
"2018-01";"Tous les pays et régions de destination du voyage";"";"Conférence et congrès (personnel)";"Toutes les durées de voyage";"Voyages";"Nombre";"223";"milliers";"3";"v1918320219";"1.5.1.1";"1282";"B";"";"";"0"
"2018-01";"Tous les pays et régions de destination du voyage";"";"Conférence et congrès (personnel)";"Toutes les durées de voyage";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918320220";"1.5.1.2";"1065";"B";"";"";"0"
"2018-01";"Tous les pays et régions de destination du voyage";"";"Conférence et congrès (personnel)";"Même jour (Excursionnistes)";"Voyages";"Nombre";"223";"milliers";"3";"v1918320221";"1.5.2.1";"795";"B";"";"";"0"
"2018-01";"Tous les pays et régions de destination du voyage";"";"Conférence et congrès (personnel)";"Même jour (Excursionnistes)";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918320222";"1.5.2.2";"683";"B";"";"";"0"
"2018-01";"Tous les pays et régions de destination du voyage";"";"Conférence et congrès (personnel)";"Une nuit ou plus (Touristes)";"Voyages";"Nombre";"223";"milliers";"3";"v1918320223";"1.5.3.1";"486";"B";"";"";"0"
"2018-01";"Tous les pays et régions de destination du voyage";"";"Conférence et congrès (personnel)";"Une nuit ou plus (Touristes)";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918320224";"1.5.3.2";"382";"B";"";"";"0"
"2018-01";"Tous les pays et régions de destination du voyage";"";"Magasinage, non routinier";"Toutes les durées de voyage";"Voyages";"Nombre";"223";"milliers";"3";"v1918320225";"1.6.1.1";"4946";"A";"";"";"0"
"2018-01";"Tous les pays et régions de destination du voyage";"";"Magasinage, non routinier";"Toutes les durées de voyage";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918320226";"1.6.1.2";"4209";"A";"";"";"0"
"2018-01";"Tous les pays et régions de destination du voyage";"";"Magasinage, non routinier";"Même jour (Excursionnistes)";"Voyages";"Nombre";"223";"milliers";"3";"v1918320227";"1.6.2.1";"4637";"A";"";"";"0"
"2018-01";"Tous les pays et régions de destination du voyage";"";"Magasinage, non routinier";"Même jour (Excursionnistes)";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918320228";"1.6.2.2";"3945";"A";"";"";"0"
"2018-01";"Tous les pays et régions de destination du voyage";"";"Magasinage, non routinier";"Une nuit ou plus (Touristes)";"Voyages";"Nombre";"223";"milliers";"3";"v1918320229";"1.6.3.1";"309";"B";"";"";"0"
"2018-01";"Tous les pays et régions de destination du voyage";"";"Magasinage, non routinier";"Une nuit ou plus (Touristes)";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918320230";"1.6.3.2";"263";"B";"";"";"0"
"2018-01";"Tous les pays et régions de destination du voyage";"";"Autre motif personnel";"Toutes les durées de voyage";"Voyages";"Nombre";"223";"milliers";"3";"v1918320231";"1.7.1.1";"5644";"B";"";"";"0"
"2018-01";"Tous les pays et régions de destination du voyage";"";"Autre motif personnel";"Toutes les durées de voyage";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918320232";"1.7.1.2";"4798";"A";"";"";"0"
"2018-01";"Tous les pays et régions de destination du voyage";"";"Autre motif personnel";"Même jour (Excursionnistes)";"Voyages";"Nombre";"223";"milliers";"3";"v1918320233";"1.7.2.1";"4411";"B";"";"";"0"
"2018-01";"Tous les pays et régions de destination du voyage";"";"Autre motif personnel";"Même jour (Excursionnistes)";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918320234";"1.7.2.2";"3805";"B";"";"";"0"
"2018-01";"Tous les pays et régions de destination du voyage";"";"Autre motif personnel";"Une nuit ou plus (Touristes)";"Voyages";"Nombre";"223";"milliers";"3";"v1918320235";"1.7.3.1";"1233";"B";"";"";"0"
"2018-01";"Tous les pays et régions de destination du voyage";"";"Autre motif personnel";"Une nuit ou plus (Touristes)";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918320236";"1.7.3.2";"993";"B";"";"";"0"
"2018-01";"Tous les pays et régions de destination du voyage";"";"Affaires et motif professionnel";"Toutes les durées de voyage";"Voyages";"Nombre";"223";"milliers";"3";"v1918320237";"1.8.1.1";"7877";"A";"";"";"0"
"2018-01";"Tous les pays et régions de destination du voyage";"";"Affaires et motif professionnel";"Toutes les durées de voyage";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918320238";"1.8.1.2";"7488";"A";"";"";"0"
"2018-01";"Tous les pays et régions de destination du voyage";"";"Affaires et motif professionnel";"Même jour (Excursionnistes)";"Voyages";"Nombre";"223";"milliers";"3";"v1918320239";"1.8.2.1";"4924";"B";"";"";"0"
"2018-01";"Tous les pays et régions de destination du voyage";"";"Affaires et motif professionnel";"Même jour (Excursionnistes)";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918320240";"1.8.2.2";"4689";"B";"";"";"0"
"2018-01";"Tous les pays et régions de destination du voyage";"";"Affaires et motif professionnel";"Une nuit ou plus (Touristes)";"Voyages";"Nombre";"223";"milliers";"3";"v1918320241";"1.8.3.1";"2953";"A";"";"";"0"
"2018-01";"Tous les pays et régions de destination du voyage";"";"Affaires et motif professionnel";"Une nuit ou plus (Touristes)";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918320242";"1.8.3.2";"2798";"A";"";"";"0"
"2018-01";"Tous les pays et régions de destination du voyage";"";"Conférence et congrès (pour les affaires)";"Toutes les durées de voyage";"Voyages";"Nombre";"223";"milliers";"3";"v1918320243";"1.9.1.1";"2333";"B";"";"";"0"
"2018-01";"Tous les pays et régions de destination du voyage";"";"Conférence et congrès (pour les affaires)";"Toutes les durées de voyage";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918320244";"1.9.1.2";"2211";"B";"";"";"0"
"2018-01";"Tous les pays et régions de destination du voyage";"";"Conférence et congrès (pour les affaires)";"Même jour (Excursionnistes)";"Voyages";"Nombre";"223";"milliers";"3";"v1918320245";"1.9.2.1";"1021";"B";"";"";"0"
"2018-01";"Tous les pays et régions de destination du voyage";"";"Conférence et congrès (pour les affaires)";"Même jour (Excursionnistes)";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918320246";"1.9.2.2";"985";"C";"";"";"0"
"2018-01";"Tous les pays et régions de destination du voyage";"";"Conférence et congrès (pour les affaires)";"Une nuit ou plus (Touristes)";"Voyages";"Nombre";"223";"milliers";"3";"v1918320247";"1.9.3.1";"1312";"B";"";"";"0"
"2018-01";"Tous les pays et régions de destination du voyage";"";"Conférence et congrès (pour les affaires)";"Une nuit ou plus (Touristes)";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918320248";"1.9.3.2";"1226";"B";"";"";"0"
"2018-01";"Tous les pays et régions de destination du voyage";"";"Autre motif professionnel";"Toutes les durées de voyage";"Voyages";"Nombre";"223";"milliers";"3";"v1918320249";"1.10.1.1";"5544";"B";"";"";"0"
