"PÉRIODE DE RÉFÉRENCE";"GÉO";"DGUID";"Motif principal du voyage";"Durée de voyage";"Statistiques de voyage";"UNITÉ DE MESURE";"IDENTIFICATEUR D'UNITÉ DE MESURE";"FACTEUR SCALAIRE";"IDENTIFICATEUR SCALAIRE";"VECTEUR";"COORDONNÉES";"VALEUR";"STATUS";"SYMBOLE";"TERMINÉ";"DÉCIMALES"
"2020-04";"Amérique du Nord";"";"Motif personnel";"Même jour (Excursionnistes)";"Voyages";"Nombre";"223";"milliers";"3";"v1918321163";"17.2.2.1";"";"..";"";"";"0"
"2020-04";"Amérique du Nord";"";"Motif personnel";"Même jour (Excursionnistes)";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918321164";"17.2.2.2";"";"..";"";"";"0"
"2020-04";"Amérique du Nord";"";"Motif personnel";"Une nuit ou plus (Touristes)";"Voyages";"Nombre";"223";"milliers";"3";"v1918321165";"17.2.3.1";"";"..";"";"";"0"
"2020-04";"Amérique du Nord";"";"Motif personnel";"Une nuit ou plus (Touristes)";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918321166";"17.2.3.2";"";"..";"";"";"0"
"2020-04";"Amérique du Nord";"";"Vacances, loisirs et agrément";"Toutes les durées de voyage";"Voyages";"Nombre";"223";"milliers";"3";"v1918321167";"17.3.1.1";"";"..";"";"";"0"
"2020-04";"Amérique du Nord";"";"Vacances, loisirs et agrément";"Toutes les durées de voyage";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918321168";"17.3.1.2";"";"..";"";"";"0"
"2020-04";"Amérique du Nord";"";"Vacances, loisirs et agrément";"Même jour (Excursionnistes)";"Voyages";"Nombre";"223";"milliers";"3";"v1918321169";"17.3.2.1";"";"..";"";"";"0"
"2020-04";"Amérique du Nord";"";"Vacances, loisirs et agrément";"Même jour (Excursionnistes)";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918321170";"17.3.2.2";"";"..";"";"";"0"
"2020-04";"Amérique du Nord";"";"Vacances, loisirs et agrément";"Une nuit ou plus (Touristes)";"Voyages";"Nombre";"223";"milliers";"3";"v1918321171";"17.3.3.1";"";"..";"";"";"0"
"2020-04";"Amérique du Nord";"";"Vacances, loisirs et agrément";"Une nuit ou plus (Touristes)";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918321172";"17.3.3.2";"";"..";"";"";"0"
"2020-04";"Amérique du Nord";"";"Visite aux amis et à la parenté";"Toutes les durées de voyage";"Voyages";"Nombre";"223";"milliers";"3";"v1918321173";"17.4.1.1";"";"..";"";"";"0"
"2020-04";"Amérique du Nord";"";"Visite aux amis et à la parenté";"Toutes les durées de voyage";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918321174";"17.4.1.2";"";"..";"";"";"0"
"2020-04";"Amérique du Nord";"";"Visite aux amis et à la parenté";"Même jour (Excursionnistes)";"Voyages";"Nombre";"223";"milliers";"3";"v1918321175";"17.4.2.1";"";"..";"";"";"0"
"2020-04";"Amérique du Nord";"";"Visite aux amis et à la parenté";"Même jour (Excursionnistes)";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918321176";"17.4.2.2";"";"..";"";"";"0"
"2020-04";"Amérique du Nord";"";"Visite aux amis et à la parenté";"Une nuit ou plus (Touristes)";"Voyages";"Nombre";"223";"milliers";"3";"v1918321177";"17.4.3.1";"";"..";"";"";"0"
"2020-04";"Amérique du Nord";"";"Visite aux amis et à la parenté";"Une nuit ou plus (Touristes)";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918321178";"17.4.3.2";"";"..";"";"";"0"
"2020-04";"Amérique du Nord";"";"Conférence et congrès (personnel)";"Toutes les durées de voyage";"Voyages";"Nombre";"223";"milliers";"3";"v1918321179";"17.5.1.1";"";"..";"";"";"0"
"2020-04";"Amérique du Nord";"";"Conférence et congrès (personnel)";"Toutes les durées de voyage";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918321180";"17.5.1.2";"";"..";"";"";"0"
"2020-04";"Amérique du Nord";"";"Conférence et congrès (personnel)";"Même jour (Excursionnistes)";"Voyages";"Nombre";"223";"milliers";"3";"v1918321181";"17.5.2.1";"";"..";"";"";"0"
"2020-04";"Amérique du Nord";"";"Conférence et congrès (personnel)";"Même jour (Excursionnistes)";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918321182";"17.5.2.2";"";"..";"";"";"0"
"2020-04";"Amérique du Nord";"";"Conférence et congrès (personnel)";"Une nuit ou plus (Touristes)";"Voyages";"Nombre";"223";"milliers";"3";"v1918321183";"17.5.3.1";"";"..";"";"";"0"
"2020-04";"Amérique du Nord";"";"Conférence et congrès (personnel)";"Une nuit ou plus (Touristes)";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918321184";"17.5.3.2";"";"..";"";"";"0"
"2020-04";"Amérique du Nord";"";"Magasinage, non routinier";"Toutes les durées de voyage";"Voyages";"Nombre";"223";"milliers";"3";"v1918321185";"17.6.1.1";"";"..";"";"";"0"
"2020-04";"Amérique du Nord";"";"Magasinage, non routinier";"Toutes les durées de voyage";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918321186";"17.6.1.2";"";"..";"";"";"0"
"2020-04";"Amérique du Nord";"";"Magasinage, non routinier";"Même jour (Excursionnistes)";"Voyages";"Nombre";"223";"milliers";"3";"v1918321187";"17.6.2.1";"";"..";"";"";"0"
"2020-04";"Amérique du Nord";"";"Magasinage, non routinier";"Même jour (Excursionnistes)";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918321188";"17.6.2.2";"";"..";"";"";"0"
"2020-04";"Amérique du Nord";"";"Magasinage, non routinier";"Une nuit ou plus (Touristes)";"Voyages";"Nombre";"223";"milliers";"3";"v1918321189";"17.6.3.1";"";"..";"";"";"0"
"2020-04";"Amérique du Nord";"";"Magasinage, non routinier";"Une nuit ou plus (Touristes)";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918321190";"17.6.3.2";"";"..";"";"";"0"
"2020-04";"Amérique du Nord";"";"Autre motif personnel";"Toutes les durées de voyage";"Voyages";"Nombre";"223";"milliers";"3";"v1918321191";"17.7.1.1";"";"..";"";"";"0"
"2020-04";"Amérique du Nord";"";"Autre motif personnel";"Toutes les durées de voyage";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918321192";"17.7.1.2";"";"..";"";"";"0"
"2020-04";"Amérique du Nord";"";"Autre motif personnel";"Même jour (Excursionnistes)";"Voyages";"Nombre";"223";"milliers";"3";"v1918321193";"17.7.2.1";"";"..";"";"";"0"
"2020-04";"Amérique du Nord";"";"Autre motif personnel";"Même jour (Excursionnistes)";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918321194";"17.7.2.2";"";"..";"";"";"0"
"2020-04";"Amérique du Nord";"";"Autre motif personnel";"Une nuit ou plus (Touristes)";"Voyages";"Nombre";"223";"milliers";"3";"v1918321195";"17.7.3.1";"";"..";"";"";"0"
"2020-04";"Amérique du Nord";"";"Autre motif personnel";"Une nuit ou plus (Touristes)";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918321196";"17.7.3.2";"";"..";"";"";"0"
"2020-04";"Amérique du Nord";"";"Affaires et motif professionnel";"Toutes les durées de voyage";"Voyages";"Nombre";"223";"milliers";"3";"v1918321197";"17.8.1.1";"";"..";"";"";"0"
"2020-04";"Amérique du Nord";"";"Affaires et motif professionnel";"Toutes les durées de voyage";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918321198";"17.8.1.2";"";"..";"";"";"0"
"2020-04";"Amérique du Nord";"";"Affaires et motif professionnel";"Même jour (Excursionnistes)";"Voyages";"Nombre";"223";"milliers";"3";"v1918321199";"17.8.2.1";"";"..";"";"";"0"
"2020-04";"Amérique du Nord";"";"Affaires et motif professionnel";"Même jour (Excursionnistes)";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918321200";"17.8.2.2";"";"..";"";"";"0"
"2020-04";"Amérique du Nord";"";"Affaires et motif professionnel";"Une nuit ou plus (Touristes)";"Voyages";"Nombre";"223";"milliers";"3";"v1918321201";"17.8.3.1";"";"..";"";"";"0"
"2020-04";"Amérique du Nord";"";"Affaires et motif professionnel";"Une nuit ou plus (Touristes)";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918321202";"17.8.3.2";"";"..";"";"";"0"
"2020-04";"Amérique du Nord";"";"Conférence et congrès (pour les affaires)";"Toutes les durées de voyage";"Voyages";"Nombre";"223";"milliers";"3";"v1918321203";"17.9.1.1";"";"..";"";"";"0"
"2020-04";"Amérique du Nord";"";"Conférence et congrès (pour les affaires)";"Toutes les durées de voyage";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918321204";"17.9.1.2";"";"..";"";"";"0"
"2020-04";"Amérique du Nord";"";"Conférence et congrès (pour les affaires)";"Même jour (Excursionnistes)";"Voyages";"Nombre";"223";"milliers";"3";"v1918321205";"17.9.2.1";"";"..";"";"";"0"
"2020-04";"Amérique du Nord";"";"Conférence et congrès (pour les affaires)";"Même jour (Excursionnistes)";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918321206";"17.9.2.2";"";"..";"";"";"0"
"2020-04";"Amérique du Nord";"";"Conférence et congrès (pour les affaires)";"Une nuit ou plus (Touristes)";"Voyages";"Nombre";"223";"milliers";"3";"v1918321207";"17.9.3.1";"";"..";"";"";"0"
"2020-04";"Amérique du Nord";"";"Conférence et congrès (pour les affaires)";"Une nuit ou plus (Touristes)";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918321208";"17.9.3.2";"";"..";"";"";"0"
"2020-04";"Amérique du Nord";"";"Autre motif professionnel";"Toutes les durées de voyage";"Voyages";"Nombre";"223";"milliers";"3";"v1918321209";"17.10.1.1";"";"..";"";"";"0"
"2020-04";"Amérique du Nord";"";"Autre motif professionnel";"Toutes les durées de voyage";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918321210";"17.10.1.2";"";"..";"";"";"0"
"2020-04";"Amérique du Nord";"";"Autre motif professionnel";"Même jour (Excursionnistes)";"Voyages";"Nombre";"223";"milliers";"3";"v1918321211";"17.10.2.1";"";"..";"";"";"0"
"2020-04";"Amérique du Nord";"";"Autre motif professionnel";"Même jour (Excursionnistes)";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918321212";"17.10.2.2";"";"..";"";"";"0"
"2020-04";"Amérique du Nord";"";"Autre motif professionnel";"Une nuit ou plus (Touristes)";"Voyages";"Nombre";"223";"milliers";"3";"v1918321213";"17.10.3.1";"";"..";"";"";"0"
"2020-04";"Amérique du Nord";"";"Autre motif professionnel";"Une nuit ou plus (Touristes)";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918321214";"17.10.3.2";"";"..";"";"";"0"
"2020-04";"Caraïbes";"";"Tous les motifs principaux de voyage";"Toutes les durées de voyage";"Voyages";"Nombre";"223";"milliers";"3";"v1918321215";"18.1.1.1";"";"..";"";"";"0"
"2020-04";"Caraïbes";"";"Tous les motifs principaux de voyage";"Toutes les durées de voyage";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918321216";"18.1.1.2";"";"..";"";"";"0"
"2020-04";"Caraïbes";"";"Tous les motifs principaux de voyage";"Même jour (Excursionnistes)";"Voyages";"Nombre";"223";"milliers";"3";"v1918321217";"18.1.2.1";"";"..";"";"";"0"
"2020-04";"Caraïbes";"";"Tous les motifs principaux de voyage";"Même jour (Excursionnistes)";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918321218";"18.1.2.2";"";"..";"";"";"0"
"2020-04";"Caraïbes";"";"Tous les motifs principaux de voyage";"Une nuit ou plus (Touristes)";"Voyages";"Nombre";"223";"milliers";"3";"v1918321219";"18.1.3.1";"";"..";"";"";"0"
"2020-04";"Caraïbes";"";"Tous les motifs principaux de voyage";"Une nuit ou plus (Touristes)";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918321220";"18.1.3.2";"";"..";"";"";"0"
"2020-04";"Caraïbes";"";"Motif personnel";"Toutes les durées de voyage";"Voyages";"Nombre";"223";"milliers";"3";"v1918321221";"18.2.1.1";"";"..";"";"";"0"
"2020-04";"Caraïbes";"";"Motif personnel";"Toutes les durées de voyage";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918321222";"18.2.1.2";"";"..";"";"";"0"
"2020-04";"Caraïbes";"";"Motif personnel";"Même jour (Excursionnistes)";"Voyages";"Nombre";"223";"milliers";"3";"v1918321223";"18.2.2.1";"";"..";"";"";"0"
"2020-04";"Caraïbes";"";"Motif personnel";"Même jour (Excursionnistes)";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918321224";"18.2.2.2";"";"..";"";"";"0"
"2020-04";"Caraïbes";"";"Motif personnel";"Une nuit ou plus (Touristes)";"Voyages";"Nombre";"223";"milliers";"3";"v1918321225";"18.2.3.1";"";"..";"";"";"0"
"2020-04";"Caraïbes";"";"Motif personnel";"Une nuit ou plus (Touristes)";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918321226";"18.2.3.2";"";"..";"";"";"0"
"2020-04";"Caraïbes";"";"Vacances, loisirs et agrément";"Toutes les durées de voyage";"Voyages";"Nombre";"223";"milliers";"3";"v1918321227";"18.3.1.1";"";"..";"";"";"0"
"2020-04";"Caraïbes";"";"Vacances, loisirs et agrément";"Toutes les durées de voyage";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918321228";"18.3.1.2";"";"..";"";"";"0"
"2020-04";"Caraïbes";"";"Vacances, loisirs et agrément";"Même jour (Excursionnistes)";"Voyages";"Nombre";"223";"milliers";"3";"v1918321229";"18.3.2.1";"";"..";"";"";"0"
"2020-04";"Caraïbes";"";"Vacances, loisirs et agrément";"Même jour (Excursionnistes)";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918321230";"18.3.2.2";"";"..";"";"";"0"
"2020-04";"Caraïbes";"";"Vacances, loisirs et agrément";"Une nuit ou plus (Touristes)";"Voyages";"Nombre";"223";"milliers";"3";"v1918321231";"18.3.3.1";"";"..";"";"";"0"
"2020-04";"Caraïbes";"";"Vacances, loisirs et agrément";"Une nuit ou plus (Touristes)";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918321232";"18.3.3.2";"";"..";"";"";"0"
"2020-04";"Caraïbes";"";"Visite aux amis et à la parenté";"Toutes les durées de voyage";"Voyages";"Nombre";"223";"milliers";"3";"v1918321233";"18.4.1.1";"";"..";"";"";"0"
"2020-04";"Caraïbes";"";"Visite aux amis et à la parenté";"Toutes les durées de voyage";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918321234";"18.4.1.2";"";"..";"";"";"0"
"2020-04";"Caraïbes";"";"Visite aux amis et à la parenté";"Même jour (Excursionnistes)";"Voyages";"Nombre";"223";"milliers";"3";"v1918321235";"18.4.2.1";"";"..";"";"";"0"
"2020-04";"Caraïbes";"";"Visite aux amis et à la parenté";"Même jour (Excursionnistes)";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918321236";"18.4.2.2";"";"..";"";"";"0"
"2020-04";"Caraïbes";"";"Visite aux amis et à la parenté";"Une nuit ou plus (Touristes)";"Voyages";"Nombre";"223";"milliers";"3";"v1918321237";"18.4.3.1";"";"..";"";"";"0"
"2020-04";"Caraïbes";"";"Visite aux amis et à la parenté";"Une nuit ou plus (Touristes)";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918321238";"18.4.3.2";"";"..";"";"";"0"
"2020-04";"Caraïbes";"";"Conférence et congrès (personnel)";"Toutes les durées de voyage";"Voyages";"Nombre";"223";"milliers";"3";"v1918321239";"18.5.1.1";"";"..";"";"";"0"
"2020-04";"Caraïbes";"";"Conférence et congrès (personnel)";"Toutes les durées de voyage";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918321240";"18.5.1.2";"";"..";"";"";"0"
"2020-04";"Caraïbes";"";"Conférence et congrès (personnel)";"Même jour (Excursionnistes)";"Voyages";"Nombre";"223";"milliers";"3";"v1918321241";"18.5.2.1";"";"..";"";"";"0"
"2020-04";"Caraïbes";"";"Conférence et congrès (personnel)";"Même jour (Excursionnistes)";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918321242";"18.5.2.2";"";"..";"";"";"0"
"2020-04";"Caraïbes";"";"Conférence et congrès (personnel)";"Une nuit ou plus (Touristes)";"Voyages";"Nombre";"223";"milliers";"3";"v1918321243";"18.5.3.1";"";"..";"";"";"0"
"2020-04";"Caraïbes";"";"Conférence et congrès (personnel)";"Une nuit ou plus (Touristes)";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918321244";"18.5.3.2";"";"..";"";"";"0"
"2020-04";"Caraïbes";"";"Magasinage, non routinier";"Toutes les durées de voyage";"Voyages";"Nombre";"223";"milliers";"3";"v1918321245";"18.6.1.1";"";"..";"";"";"0"
"2020-04";"Caraïbes";"";"Magasinage, non routinier";"Toutes les durées de voyage";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918321246";"18.6.1.2";"";"..";"";"";"0"
"2020-04";"Caraïbes";"";"Magasinage, non routinier";"Même jour (Excursionnistes)";"Voyages";"Nombre";"223";"milliers";"3";"v1918321247";"18.6.2.1";"";"..";"";"";"0"
"2020-04";"Caraïbes";"";"Magasinage, non routinier";"Même jour (Excursionnistes)";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918321248";"18.6.2.2";"";"..";"";"";"0"
"2020-04";"Caraïbes";"";"Magasinage, non routinier";"Une nuit ou plus (Touristes)";"Voyages";"Nombre";"223";"milliers";"3";"v1918321249";"18.6.3.1";"";"..";"";"";"0"
"2020-04";"Caraïbes";"";"Magasinage, non routinier";"Une nuit ou plus (Touristes)";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918321250";"18.6.3.2";"";"..";"";"";"0"
"2020-04";"Caraïbes";"";"Autre motif personnel";"Toutes les durées de voyage";"Voyages";"Nombre";"223";"milliers";"3";"v1918321251";"18.7.1.1";"";"..";"";"";"0"
"2020-04";"Caraïbes";"";"Autre motif personnel";"Toutes les durées de voyage";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918321252";"18.7.1.2";"";"..";"";"";"0"
"2020-04";"Caraïbes";"";"Autre motif personnel";"Même jour (Excursionnistes)";"Voyages";"Nombre";"223";"milliers";"3";"v1918321253";"18.7.2.1";"";"..";"";"";"0"
"2020-04";"Caraïbes";"";"Autre motif personnel";"Même jour (Excursionnistes)";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918321254";"18.7.2.2";"";"..";"";"";"0"
"2020-04";"Caraïbes";"";"Autre motif personnel";"Une nuit ou plus (Touristes)";"Voyages";"Nombre";"223";"milliers";"3";"v1918321255";"18.7.3.1";"";"..";"";"";"0"
"2020-04";"Caraïbes";"";"Autre motif personnel";"Une nuit ou plus (Touristes)";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918321256";"18.7.3.2";"";"..";"";"";"0"
"2020-04";"Caraïbes";"";"Affaires et motif professionnel";"Toutes les durées de voyage";"Voyages";"Nombre";"223";"milliers";"3";"v1918321257";"18.8.1.1";"";"..";"";"";"0"
"2020-04";"Caraïbes";"";"Affaires et motif professionnel";"Toutes les durées de voyage";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918321258";"18.8.1.2";"";"..";"";"";"0"
"2020-04";"Caraïbes";"";"Affaires et motif professionnel";"Même jour (Excursionnistes)";"Voyages";"Nombre";"223";"milliers";"3";"v1918321259";"18.8.2.1";"";"..";"";"";"0"
"2020-04";"Caraïbes";"";"Affaires et motif professionnel";"Même jour (Excursionnistes)";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918321260";"18.8.2.2";"";"..";"";"";"0"
"2020-04";"Caraïbes";"";"Affaires et motif professionnel";"Une nuit ou plus (Touristes)";"Voyages";"Nombre";"223";"milliers";"3";"v1918321261";"18.8.3.1";"";"..";"";"";"0"
"2020-04";"Caraïbes";"";"Affaires et motif professionnel";"Une nuit ou plus (Touristes)";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918321262";"18.8.3.2";"";"..";"";"";"0"
"2020-04";"Caraïbes";"";"Conférence et congrès (pour les affaires)";"Toutes les durées de voyage";"Voyages";"Nombre";"223";"milliers";"3";"v1918321263";"18.9.1.1";"";"..";"";"";"0"
"2020-04";"Caraïbes";"";"Conférence et congrès (pour les affaires)";"Toutes les durées de voyage";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918321264";"18.9.1.2";"";"..";"";"";"0"
"2020-04";"Caraïbes";"";"Conférence et congrès (pour les affaires)";"Même jour (Excursionnistes)";"Voyages";"Nombre";"223";"milliers";"3";"v1918321265";"18.9.2.1";"";"..";"";"";"0"
"2020-04";"Caraïbes";"";"Conférence et congrès (pour les affaires)";"Même jour (Excursionnistes)";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918321266";"18.9.2.2";"";"..";"";"";"0"
"2020-04";"Caraïbes";"";"Conférence et congrès (pour les affaires)";"Une nuit ou plus (Touristes)";"Voyages";"Nombre";"223";"milliers";"3";"v1918321267";"18.9.3.1";"";"..";"";"";"0"
"2020-04";"Caraïbes";"";"Conférence et congrès (pour les affaires)";"Une nuit ou plus (Touristes)";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918321268";"18.9.3.2";"";"..";"";"";"0"
"2020-04";"Caraïbes";"";"Autre motif professionnel";"Toutes les durées de voyage";"Voyages";"Nombre";"223";"milliers";"3";"v1918321269";"18.10.1.1";"";"..";"";"";"0"
"2020-04";"Caraïbes";"";"Autre motif professionnel";"Toutes les durées de voyage";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918321270";"18.10.1.2";"";"..";"";"";"0"
"2020-04";"Caraïbes";"";"Autre motif professionnel";"Même jour (Excursionnistes)";"Voyages";"Nombre";"223";"milliers";"3";"v1918321271";"18.10.2.1";"";"..";"";"";"0"
"2020-04";"Caraïbes";"";"Autre motif professionnel";"Même jour (Excursionnistes)";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918321272";"18.10.2.2";"";"..";"";"";"0"
"2020-04";"Caraïbes";"";"Autre motif professionnel";"Une nuit ou plus (Touristes)";"Voyages";"Nombre";"223";"milliers";"3";"v1918321273";"18.10.3.1";"";"..";"";"";"0"
"2020-04";"Caraïbes";"";"Autre motif professionnel";"Une nuit ou plus (Touristes)";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918321274";"18.10.3.2";"";"..";"";"";"0"
"2020-04";"Amérique du Sud et Centrale";"";"Tous les motifs principaux de voyage";"Toutes les durées de voyage";"Voyages";"Nombre";"223";"milliers";"3";"v1918321275";"19.1.1.1";"";"..";"";"";"0"
"2020-04";"Amérique du Sud et Centrale";"";"Tous les motifs principaux de voyage";"Toutes les durées de voyage";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918321276";"19.1.1.2";"";"..";"";"";"0"
"2020-04";"Amérique du Sud et Centrale";"";"Tous les motifs principaux de voyage";"Même jour (Excursionnistes)";"Voyages";"Nombre";"223";"milliers";"3";"v1918321277";"19.1.2.1";"";"..";"";"";"0"
"2020-04";"Amérique du Sud et Centrale";"";"Tous les motifs principaux de voyage";"Même jour (Excursionnistes)";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918321278";"19.1.2.2";"";"..";"";"";"0"
"2020-04";"Amérique du Sud et Centrale";"";"Tous les motifs principaux de voyage";"Une nuit ou plus (Touristes)";"Voyages";"Nombre";"223";"milliers";"3";"v1918321279";"19.1.3.1";"";"..";"";"";"0"
"2020-04";"Amérique du Sud et Centrale";"";"Tous les motifs principaux de voyage";"Une nuit ou plus (Touristes)";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918321280";"19.1.3.2";"";"..";"";"";"0"
"2020-04";"Amérique du Sud et Centrale";"";"Motif personnel";"Toutes les durées de voyage";"Voyages";"Nombre";"223";"milliers";"3";"v1918321281";"19.2.1.1";"";"..";"";"";"0"
"2020-04";"Amérique du Sud et Centrale";"";"Motif personnel";"Toutes les durées de voyage";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918321282";"19.2.1.2";"";"..";"";"";"0"
"2020-04";"Amérique du Sud et Centrale";"";"Motif personnel";"Même jour (Excursionnistes)";"Voyages";"Nombre";"223";"milliers";"3";"v1918321283";"19.2.2.1";"";"..";"";"";"0"
"2020-04";"Amérique du Sud et Centrale";"";"Motif personnel";"Même jour (Excursionnistes)";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918321284";"19.2.2.2";"";"..";"";"";"0"
"2020-04";"Amérique du Sud et Centrale";"";"Motif personnel";"Une nuit ou plus (Touristes)";"Voyages";"Nombre";"223";"milliers";"3";"v1918321285";"19.2.3.1";"";"..";"";"";"0"
"2020-04";"Amérique du Sud et Centrale";"";"Motif personnel";"Une nuit ou plus (Touristes)";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918321286";"19.2.3.2";"";"..";"";"";"0"
"2020-04";"Amérique du Sud et Centrale";"";"Vacances, loisirs et agrément";"Toutes les durées de voyage";"Voyages";"Nombre";"223";"milliers";"3";"v1918321287";"19.3.1.1";"";"..";"";"";"0"
"2020-04";"Amérique du Sud et Centrale";"";"Vacances, loisirs et agrément";"Toutes les durées de voyage";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918321288";"19.3.1.2";"";"..";"";"";"0"
"2020-04";"Amérique du Sud et Centrale";"";"Vacances, loisirs et agrément";"Même jour (Excursionnistes)";"Voyages";"Nombre";"223";"milliers";"3";"v1918321289";"19.3.2.1";"";"..";"";"";"0"
"2020-04";"Amérique du Sud et Centrale";"";"Vacances, loisirs et agrément";"Même jour (Excursionnistes)";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918321290";"19.3.2.2";"";"..";"";"";"0"
