SAMPLE_NAME,WWTP_CODE,LOCATION,NUMBER,LAB_SAMPLE_ID,ANALYTE,CAS_NUMBER,RESULT,DETECTION_LIMIT,UNITS,SAMPLE_DATE,BATCH
PA-BIOSD-19,PA,Biosolids,19,B22E019-01,"Mercury, Total",7439-97-6,0.25,0.001,mg/kg,5/3/2022,BJF0028
PA-BIOSD-20,PA,Biosolids,20,B22E019-02,"Mercury, Total",7439-97-6,0.332,0.001,mg/kg,5/4/2022,BJF0028
PA-BIOSD-21,PA,Biosolids,21,B22E019-03,"Mercury, Total",7439-97-6,0.29,0.001,mg/kg,5/5/2022,BJF0028
SK-BIOSD-4,SK,Biosolids,4,B22E094-01,"Mercury, Total",7439-97-6,0.432,0.001,mg/kg,5/17/2022,BJF0028
SK-BIOSD-5,SK,Biosolids,5,B22E094-02,"Mercury, Total",7439-97-6,0.302,0.001,mg/kg,5/18/2022,BJF0028
SK-BIOSD-6,SK,Biosolids,6,B22E094-03,"Mercury, Total",7439-97-6,0.383,0.001,mg/kg,5/19/2022,BJF0028
U-BIOSD-31,U,Biosolids,31,B19I212-01,"Mercury, Total",7439-97-6,0.885,0.001,mg/kg,9/24/2019,BHA0025
U-BIOSD-32,U,Biosolids,32,B19I212-02,"Mercury, Total",7439-97-6,0.422,0.001,mg/kg,9/25/2019,BHA0025
U-BIOSD-33,U,Biosolids,33,B19I212-03,"Mercury, Total",7439-97-6,0.317,0.001,mg/kg,9/26/2019,BHA0025
U-BIOSD-37,U,Biosolids,37,B22F106-01,"Mercury, Total",7439-97-6,0.239,0.001,mg/kg,6/14/2022,BJF0174
U-BIOSD-38,U,Biosolids,38,B22F106-02,"Mercury, Total",7439-97-6,0.267,0.001,mg/kg,6/15/2022,BJF0174
U-BIOSD-39,U,Biosolids,39,B22F106-03,"Mercury, Total",7439-97-6,0.217,0.001,mg/kg,6/16/2022,BJF0174
AF-BIOSD-4,AF,Biosolids,4,B24H148-01,"Mercury, Total",7439-97-6,1.81,0.001,mg/kg,8/20/2024,BLI0078
AF-BIOSD-5,AF,Biosolids,5,B24H148-02,"Mercury, Total",7439-97-6,4.35,0.001,mg/kg,8/21/2024,BLI0078
AF-BIOSD-6,AF,Biosolids,6,B24H148-03,"Mercury, Total",7439-97-6,1.73,0.001,mg/kg,8/22/2024,BLI0078
A-BIOSD-19,A,Biosolids,19,B24H146-01,"Mercury, Total",7439-97-6,1.86,0.001,mg/kg,8/20/2024,BLI0078
A-BIOSD-20,A,Biosolids,20,B24H146-02,"Mercury, Total",7439-97-6,1.45,0.001,mg/kg,8/21/2024,BLI0078
A-BIOSD-21,A,Biosolids,21,B24H146-03,"Mercury, Total",7439-97-6,3.48,0.001,mg/kg,8/22/2024,BLI0078
AF-BIOSD-4,AF,Biosolids,4,B24H148-01,"Mercury, Total",7439-97-6,1.81,0.001,mg/kg,8/20/2024,BLI0078
AF-BIOSD-5,AF,Biosolids,5,B24H148-02,"Mercury, Total",7439-97-6,4.35,0.001,mg/kg,8/21/2024,BLI0078
AF-BIOSD-6,AF,Biosolids,6,B24H148-03,"Mercury, Total",7439-97-6,1.73,0.001,mg/kg,8/22/2024,BLI0078
HG-BIOSK-36,HG,Biosolids,36,B24E042-01,"Mercury, Total",7439-97-6,0.344,0.001,mg/kg,5/7/2024,BLF0090
HG-BIOSK-37,HG,Biosolids,37,B24E042-02,"Mercury, Total",7439-97-6,0.325,0.001,mg/kg,5/8/2024,BLF0090
HG-BIOSK-38,HG,Biosolids,38,B24E042-03,"Mercury, Total",7439-97-6,0.3,0.001,mg/kg,5/9/2024,BLF0090
PA-BIOSD-25,PA,Biosolids,25,B24E043-01,"Mercury, Total",7439-97-6,0.468,0.001,mg/kg,5/7/2024,BLF0090
PA-BIOSD-26,PA,Biosolids,26,B24E043-02,"Mercury, Total",7439-97-6,0.54,0.001,mg/kg,5/8/2024,BLF0090
PA-BIOSD-27,PA,Biosolids,27,B24E043-03,"Mercury, Total",7439-97-6,0.462,0.001,mg/kg,5/9/2024,BLF0090
SK-BIOSD-10,SK,Biosolids,10,B24J157-01,"Mercury, Total",7439-97-6,0.595,0.001,mg/kg,10/22/2024,BMA0134
SK-BIOSD-11,SK,Biosolids,11,B24J157-02,"Mercury, Total",7439-97-6,0.85,0.001,mg/kg,10/23/2024,BMA0134
SK-BIOSD-12,SK,Biosolids,12,B24J157-03,"Mercury, Total",7439-97-6,0.405,0.001,mg/kg,10/24/2024,BMA0134
MH-BIOSD-19,MH,Biosolids,19,B24J159-01,"Mercury, Total",7439-97-6,0.474,0.001,mg/kg,10/22/2024,BMA0134
MH-BIOSD-20,MH,Biosolids,20,B24J159-02,"Mercury, Total",7439-97-6,0.356,0.001,mg/kg,10/23/2024,BMA0134
MH-BIOSD-21,MH,Biosolids,21,B24J159-03,"Mercury, Total",7439-97-6,0.477,0.001,mg/kg,10/24/2024,BMA0134
BF-BIOSK-17,BF,Biosolids,17,B24I154-01,"Mercury, Total",7439-97-6,0.603,0.001,mg/kg,9/17/2024,BLK0045
BF-BIOSK-18,BF,Biosolids,18,B24I154-02,"Mercury, Total",7439-97-6,0.526,0.001,mg/kg,9/18/2024,BLK0045
BF-BIOSK-19,BF,Biosolids,19,B24I154-03,"Mercury, Total",7439-97-6,0.564,0.001,mg/kg,9/19/2024,BLK0045
BUR-Blank-S-81,BUR,Equipment Blank,81,B24K010-01,"Mercury, Total",7439-97-6,Non-Detect,0.001,mg/kg,11/5/2024,BMC0122
BUR-Blank-S-82,BUR,Equipment Blank,82,B24K010-02,"Mercury, Total",7439-97-6,Non-Detect,0.001,mg/kg,11/5/2024,BMC0122
BUR-Blank-S-83,BUR,Equipment Blank,83,B24K010-03,"Mercury, Total",7439-97-6,Non-Detect,0.001,mg/kg,11/5/2024,BMC0122
GA-BIOSD-10,GA,Biosolids,10,B24G180-01,"Mercury, Total",7439-97-6,0.626,0.001,mg/kg,7/23/2024,BLI0078
GA-BIOSD-11,GA,Biosolids,11,B24G180-02,"Mercury, Total",7439-97-6,0.757,0.001,mg/kg,7/25/2024,BLI0078
GA-BIOSD-12,GA,Biosolids,12,B24G180-03,"Mercury, Total",7439-97-6,0.529,0.001,mg/kg,7/25/2024,BLI0078
GL-BIOSD-7,GL,Biosolids,7,B24G171-01,"Mercury, Total",7439-97-6,0.471,0.001,mg/kg,7/23/2024,BLI0078
GL-BIOSD-8,GL,Biosolids,8,B24G171-02,"Mercury, Total",7439-97-6,0.449,0.001,mg/kg,7/24/2024,BLI0078
GL-BIOSD-9,GL,Biosolids,9,B24G171-03,"Mercury, Total",7439-97-6,0.361,0.001,mg/kg,7/25/2024,BLI0078
Q-BIOSD-51,Q,Biosolids,51,B24I152-01,"Mercury, Total",7439-97-6,0.41,0.001,mg/kg,9/17/2024,BLK0045
Q-BIOSD-52,Q,Biosolids,52,B24I152-02,"Mercury, Total",7439-97-6,0.444,0.001,mg/kg,9/18/2024,BLK0045
Q-BIOSD-53,Q,Biosolids,53,B24I152-03,"Mercury, Total",7439-97-6,0.436,0.001,mg/kg,9/19/2024,BLK0045
QE-BIOSK-4,QE,Biosolids,4,B24F131-01,"Mercury, Total",7439-97-6,14.3,0.001,mg/kg,6/18/2024,BLI0151
QE-BIOSK-5,QE,Biosolids,5,B24F131-02,"Mercury, Total",7439-97-6,7.69,0.001,mg/kg,6/19/2024,BLI0151
QE-BIOSK-6,QE,Biosolids,6,B24F131-03,"Mercury, Total",7439-97-6,3.88,0.001,mg/kg,6/20/2024,BLI0151
